Sla;Price;SlaPenalty
1780;17.80;-0.02
1780;17.80;-0.02
1780;17.80;-0.02
1780;17.80;-0.02
1630;16.30;-0.02
1630;16.30;-0.02
1630;16.30;-0.02
1630;16.30;-0.02
1360;13.60;-0.02
1360;13.60;-0.02
1360;13.60;-0.02
1360;13.60;-0.02
1030;10.30;-0.02
1030;10.30;-0.02
1030;10.30;-0.02
1030;10.30;-0.02
898;8.98;-0.02
898;8.98;-0.02
898;8.98;-0.02
898;8.98;-0.02
835;8.35;-0.02
835;8.35;-0.02
835;8.35;-0.02
835;8.35;-0.02
680;6.80;-0.02
680;6.80;-0.02
680;6.80;-0.02
680;6.80;-0.02
864;8.64;-0.02
864;8.64;-0.02
864;8.64;-0.02
864;8.64;-0.02
969;9.69;-0.02
969;9.69;-0.02
969;9.69;-0.02
969;9.69;-0.02
1310;13.10;-0.02
1310;13.10;-0.02
1310;13.10;-0.02
1310;13.10;-0.02
1670;16.70;-0.02
1670;16.70;-0.02
1670;16.70;-0.02
1670;16.70;-0.02
1860;18.60;-0.02
1860;18.60;-0.02
1860;18.60;-0.02
1860;18.60;-0.02
2000;20.00;-0.02
2000;20.00;-0.02
2000;20.00;-0.02
2000;20.00;-0.02
2330;23.30;-0.02
2330;23.30;-0.02
2330;23.30;-0.02
2330;23.30;-0.02
2470;24.70;-0.02
2470;24.70;-0.02
2470;24.70;-0.02
2470;24.70;-0.02
3270;32.70;-0.02
3270;32.70;-0.02
3270;32.70;-0.02
3270;32.70;-0.02
3000;30.00;-0.02
3000;30.00;-0.02
3000;30.00;-0.02
3000;30.00;-0.02
3440;34.40;-0.02
3440;34.40;-0.02
3440;34.40;-0.02
3440;34.40;-0.02
3150;31.50;-0.02
3150;31.50;-0.02
3150;31.50;-0.02
3150;31.50;-0.02
2860;28.60;-0.02
2860;28.60;-0.02
2860;28.60;-0.02
2860;28.60;-0.02
2260;22.60;-0.02
2260;22.60;-0.02
2260;22.60;-0.02
2260;22.60;-0.02
2000;20.00;-0.02
2000;20.00;-0.02
2000;20.00;-0.02
2000;20.00;-0.02
1860;18.60;-0.02
1860;18.60;-0.02
1860;18.60;-0.02
1860;18.60;-0.02
1650;16.50;-0.02
1650;16.50;-0.02
1650;16.50;-0.02
1650;16.50;-0.02
