Sla;Price;SlaPenalty
1696;16.96;-0.02
1696;16.96;-0.02
1696;16.96;-0.02
1696;16.96;-0.02
1679;16.79;-0.02
1679;16.79;-0.02
1679;16.79;-0.02
1679;16.79;-0.02
1387;13.87;-0.02
1387;13.87;-0.02
1387;13.87;-0.02
1387;13.87;-0.02
1053;10.53;-0.02
1053;10.53;-0.02
1053;10.53;-0.02
1053;10.53;-0.02
1044;10.44;-0.02
1044;10.44;-0.02
1044;10.44;-0.02
1044;10.44;-0.02
1013;10.13;-0.02
1013;10.13;-0.02
1013;10.13;-0.02
1013;10.13;-0.02
1004;10.04;-0.02
1004;10.04;-0.02
1004;10.04;-0.02
1004;10.04;-0.02
1005;10.05;-0.02
1005;10.05;-0.02
1005;10.05;-0.02
1005;10.05;-0.02
1111;11.11;-0.02
1111;11.11;-0.02
1111;11.11;-0.02
1111;11.11;-0.02
1379;13.79;-0.02
1379;13.79;-0.02
1379;13.79;-0.02
1379;13.79;-0.02
1697;16.97;-0.02
1697;16.97;-0.02
1697;16.97;-0.02
1697;16.97;-0.02
1941;19.41;-0.02
1941;19.41;-0.02
1941;19.41;-0.02
1941;19.41;-0.02
1919;19.19;-0.02
1919;19.19;-0.02
1919;19.19;-0.02
1919;19.19;-0.02
2242;22.42;-0.02
2242;22.42;-0.02
2242;22.42;-0.02
2242;22.42;-0.02
2328;23.28;-0.02
2328;23.28;-0.02
2328;23.28;-0.02
2328;23.28;-0.02
2968;29.68;-0.02
2968;29.68;-0.02
2968;29.68;-0.02
2968;29.68;-0.02
2972;29.72;-0.02
2972;29.72;-0.02
2972;29.72;-0.02
2972;29.72;-0.02
3216;32.16;-0.02
3216;32.16;-0.02
3216;32.16;-0.02
3216;32.16;-0.02
3265;32.65;-0.02
3265;32.65;-0.02
3265;32.65;-0.02
3265;32.65;-0.02
2936;29.36;-0.02
2936;29.36;-0.02
2936;29.36;-0.02
2936;29.36;-0.02
2751;27.51;-0.02
2751;27.51;-0.02
2751;27.51;-0.02
2751;27.51;-0.02
2182;21.82;-0.02
2182;21.82;-0.02
2182;21.82;-0.02
2182;21.82;-0.02
1898;18.98;-0.02
1898;18.98;-0.02
1898;18.98;-0.02
1898;18.98;-0.02
1866;18.66;-0.02
1866;18.66;-0.02
1866;18.66;-0.02
1866;18.66;-0.02
